pub_date	title	venue	excerpt	url_slug	paper_url
10/1/2019	The DOE E3SM coupled model version 1 Description and results at high resolution	Journal of Advances in Modeling Earth Systems	E3SM V1 high resolution evaluation paper	2019-JAMES-E3SM-HiRes	https://doi.org/10.1029/2019MS001870
10/1/2007	Discovery of a 1.0 Ma Yellow River terrace and re-dating of the fourth Yellow River terrace in Lanzhou area	Progress in Natural Science	Yellow River evolution history at Lanzhou	2007-PNS-Yellow-River	https://doi.org/10.1080/10020070612331343246
10/1/2012	Meander hydrodynamics initiated by river restoration deflectors	Hydrological Processes	River restoration structure changes surface water hydrodynamics	2012-HP	https://doi.org/10.1002/hyp.8352
